,THR,APS,RAPS,SAPS,Margin
SplitPredictor,19.8032,20.0052,25.234,25.2128,68.061
ClassWisePredictor,22.954,24.3418,32.019,31.231,68.0946
ClusterPredictor,21.6614,21.6504,27.778,25.0274,69.2682
