,THR,APS,RAPS,SAPS,Margin
SplitPredictor,1.1594,1.3582,1.1826,1.3114,1.4374
ClassWisePredictor,1.226,1.3982,1.3568,1.4092,0.9602
ClusterPredictor,1.16,1.3366,1.1868,1.3128,1.4374
