,THR,APS,RAPS,SAPS,Margin
SplitPredictor,0.9496,0.9502,0.9464,0.9502,0.9496
ClassWisePredictor,0.9518,0.95,0.9488,0.9478,0.9476
ClusterPredictor,0.9496,0.9522,0.9472,0.9486,0.9496
