,THR,APS,RAPS,SAPS,Margin
SplitPredictor,0.951,0.9532,0.9468,0.9496,0.9514
ClassWisePredictor,0.9504,0.9522,0.9482,0.9454,0.4798
ClusterPredictor,0.9512,0.9456,0.95,0.9498,0.9514
